Día,Valor,Drawdown,Régimen
553,16229.74,-0.38,EXPANSION
554,16071.98,-1.35,EXPANSION
555,15839.37,-2.78,EXPANSION
556,15968.29,-1.99,EXPANSION
557,16023.82,-1.65,EXPANSION
558,15961.52,-2.03,EXPANSION
559,15866.62,-2.61,EXPANSION
560,15833.93,-2.81,EXPANSION
561,15656.02,-3.90,EXPANSION
562,15730.19,-3.45,EXPANSION
563,15717.86,-3.52,EXPANSION
564,15901.83,-2.39,EXPANSION
565,15964.48,-2.01,EXPANSION
566,15974.72,-1.95,EXPANSION
567,15938.63,-2.17,EXPANSION
568,15988.64,-1.86,EXPANSION
569,16004.85,-1.76,EXPANSION
570,16044.87,-1.52,EXPANSION
571,16098.44,-1.19,EXPANSION
572,16091.54,-1.23,EXPANSION
573,16011.80,-1.72,EXPANSION
574,16132.50,-0.98,EXPANSION
575,16138.46,-0.94,EXPANSION
576,16136.83,-0.95,EXPANSION
577,16157.23,-0.83,EXPANSION
578,16186.63,-0.65,EXPANSION
579,16232.41,-0.37,EXPANSION
580,16156.38,-0.83,EXPANSION
581,16030.11,-1.61,EXPANSION
582,16027.14,-1.63,EXPANSION
583,16035.66,-1.57,EXPANSION
584,16053.43,-1.46,EXPANSION
585,16166.16,-0.77,EXPANSION
586,16152.08,-0.86,EXPANSION
587,16087.07,-1.26,EXPANSION
588,16235.42,-0.35,EXPANSION
589,16200.59,-0.56,EXPANSION
590,16216.56,-0.46,EXPANSION
591,16176.33,-0.71,EXPANSION
592,16359.74,0.00,EXPANSION
593,16459.29,0.00,EXPANSION
594,16427.20,-0.19,EXPANSION
595,16478.63,0.00,EXPANSION
596,16379.20,-0.60,EXPANSION
597,16387.44,-0.55,EXPANSION
598,16427.79,-0.31,EXPANSION
599,16587.19,0.00,EXPANSION
600,16658.52,0.00,EXPANSION
601,16655.23,-0.02,EXPANSION
602,16623.39,-0.21,EXPANSION
603,16716.87,0.00,EXPANSION
604,16748.16,0.00,EXPANSION
605,16771.85,0.00,EXPANSION
606,16967.46,0.00,EXPANSION
607,17070.44,0.00,EXPANSION
608,17171.94,0.00,EXPANSION
609,17274.18,0.00,EXPANSION
610,17168.82,-0.61,EXPANSION
611,17268.99,-0.03,EXPANSION
612,17273.77,-0.00,EXPANSION
613,17276.98,0.00,EXPANSION
614,17325.18,0.00,EXPANSION
615,17169.82,-0.90,EXPANSION
616,17243.91,-0.47,EXPANSION
617,17509.85,0.00,EXPANSION
618,17616.42,0.00,EXPANSION
619,17570.55,-0.26,EXPANSION
