Día,Valor,Drawdown,Régimen
516,13803.68,0.00,EXPANSION
517,13893.44,0.00,EXPANSION
518,13776.15,-0.84,EXPANSION
519,13857.24,-0.26,EXPANSION
520,13888.82,-0.03,EXPANSION
521,13878.42,-0.11,EXPANSION
522,13990.15,0.00,EXPANSION
523,14079.31,0.00,EXPANSION
524,14078.97,-0.00,EXPANSION
525,14105.36,0.00,EXPANSION
526,14131.49,0.00,EXPANSION
527,14147.33,0.00,EXPANSION
528,14134.77,-0.09,EXPANSION
529,14196.65,0.00,EXPANSION
530,14281.73,0.00,EXPANSION
531,14236.55,-0.32,EXPANSION
532,14287.08,0.00,EXPANSION
533,14278.54,-0.06,EXPANSION
534,14226.68,-0.42,EXPANSION
535,14264.64,-0.16,EXPANSION
536,14317.96,0.00,EXPANSION
537,14237.03,-0.57,EXPANSION
538,14422.57,0.00,EXPANSION
539,14326.09,-0.67,EXPANSION
540,14336.27,-0.60,EXPANSION
541,14304.40,-0.82,EXPANSION
542,14323.88,-0.68,EXPANSION
543,14247.40,-1.21,EXPANSION
544,14208.52,-1.48,EXPANSION
545,14069.92,-2.45,EXPANSION
546,14063.10,-2.49,EXPANSION
547,14010.43,-2.86,EXPANSION
548,14116.38,-2.12,EXPANSION
549,14194.50,-1.58,EXPANSION
550,14263.24,-1.10,EXPANSION
551,14241.83,-1.25,EXPANSION
552,14455.27,0.00,EXPANSION
553,14411.97,-0.30,EXPANSION
554,14249.44,-1.42,EXPANSION
555,14015.55,-3.04,EXPANSION
556,14144.92,-2.15,EXPANSION
557,14195.14,-1.80,EXPANSION
558,14133.41,-2.23,EXPANSION
559,14017.40,-3.03,EXPANSION
560,13992.03,-3.20,EXPANSION
561,13812.61,-4.45,EXPANSION
562,13886.83,-3.93,EXPANSION
563,13874.48,-4.02,EXPANSION
564,14067.92,-2.68,EXPANSION
565,14124.50,-2.29,EXPANSION
566,14137.96,-2.20,EXPANSION
567,13942.67,-3.55,EXPANSION
568,13988.25,-3.23,EXPANSION
569,14004.49,-3.12,EXPANSION
570,14044.62,-2.84,EXPANSION
571,14093.41,-2.50,EXPANSION
572,14090.65,-2.52,EXPANSION
573,14010.65,-3.08,EXPANSION
574,14133.70,-2.22,EXPANSION
575,14144.68,-2.15,EXPANSION
576,14143.05,-2.16,EXPANSION
577,14163.53,-2.02,EXPANSION
578,14219.44,-1.63,EXPANSION
579,14286.97,-1.16,EXPANSION
580,14208.57,-1.71,EXPANSION
581,14084.53,-2.56,EXPANSION
582,14081.54,-2.59,EXPANSION
583,14090.12,-2.53,EXPANSION
584,14108.00,-2.40,EXPANSION
585,14198.26,-1.78,EXPANSION
586,14180.76,-1.90,EXPANSION
587,14096.49,-2.48,EXPANSION
588,14225.05,-1.59,EXPANSION
589,14189.05,-1.84,EXPANSION
590,14205.08,-1.73,EXPANSION
591,14164.71,-2.01,EXPANSION
592,14314.33,-0.98,EXPANSION
593,14392.70,-0.43,EXPANSION
594,14353.44,-0.70,EXPANSION
595,14368.93,-0.60,EXPANSION
596,14245.05,-1.45,EXPANSION
597,14253.26,-1.40,EXPANSION
598,14293.46,-1.12,EXPANSION
599,14440.11,-0.10,EXPANSION
600,14513.23,0.00,EXPANSION
601,14504.30,-0.06,EXPANSION
602,14439.22,-0.51,EXPANSION
603,14529.72,0.00,EXPANSION
604,14560.88,0.00,EXPANSION
605,14584.48,0.00,EXPANSION
606,14792.18,0.00,EXPANSION
607,14894.95,0.00,EXPANSION
608,15002.73,0.00,EXPANSION
609,15121.37,0.00,EXPANSION
610,15022.98,-0.65,EXPANSION
611,15123.38,0.00,EXPANSION
612,15128.17,0.00,EXPANSION
613,15118.13,-0.07,EXPANSION
614,15162.42,0.00,EXPANSION
615,15047.85,-0.76,EXPANSION
616,15096.25,-0.44,EXPANSION
617,15367.25,0.00,EXPANSION
618,15474.41,0.00,EXPANSION
619,15428.25,-0.30,EXPANSION
620,15642.66,0.00,EXPANSION
621,15783.37,0.00,EXPANSION
622,15887.58,0.00,EXPANSION
623,15784.42,-0.65,EXPANSION
624,15744.09,-0.90,EXPANSION
625,15577.07,-1.95,EXPANSION
626,15704.69,-1.15,EXPANSION
627,15808.57,-0.50,EXPANSION
628,15698.29,-1.19,EXPANSION
629,15785.07,-0.65,EXPANSION
630,15794.50,-0.59,EXPANSION
631,15948.49,0.00,EXPANSION
632,15974.85,0.00,EXPANSION
633,15971.40,-0.02,EXPANSION
634,16135.11,0.00,EXPANSION
635,16303.58,0.00,EXPANSION
636,16216.69,-0.53,EXPANSION
637,16348.79,0.00,EXPANSION
638,16173.32,-1.07,EXPANSION
639,16282.25,-0.41,EXPANSION
640,16291.07,-0.35,EXPANSION
641,15983.96,-2.23,EXPANSION
642,16115.40,-1.43,EXPANSION
643,15865.98,-2.95,EXPANSION
644,15737.18,-3.74,EXPANSION
645,15777.79,-3.49,EXPANSION
646,15909.83,-2.68,EXPANSION
647,15810.90,-3.29,EXPANSION
648,15948.29,-2.45,EXPANSION
649,15958.80,-2.39,EXPANSION
650,15983.77,-2.23,EXPANSION
651,16022.46,-2.00,EXPANSION
652,16162.63,-1.14,EXPANSION
653,16039.54,-1.89,EXPANSION
654,16021.31,-2.00,EXPANSION
655,15922.87,-2.61,EXPANSION
656,15823.07,-3.22,EXPANSION
657,15963.28,-2.36,EXPANSION
658,15753.73,-3.64,EXPANSION
659,15709.41,-3.91,EXPANSION
660,15664.42,-4.19,EXPANSION
661,15735.45,-3.75,EXPANSION
662,15745.57,-3.69,EXPANSION
663,15781.00,-3.47,EXPANSION
664,15867.59,-2.94,EXPANSION
665,15778.25,-3.49,EXPANSION
666,15741.94,-3.71,EXPANSION
667,15792.47,-3.40,EXPANSION
668,15742.60,-3.71,EXPANSION
669,15687.75,-4.04,EXPANSION
670,15696.91,-3.99,EXPANSION
671,15895.89,-2.77,EXPANSION
672,15873.71,-2.91,EXPANSION
673,15873.69,-2.91,EXPANSION
674,15617.89,-4.47,EXPANSION
675,15535.09,-4.98,EXPANSION
676,15942.88,-2.48,EXPANSION
677,16091.55,-1.57,EXPANSION
678,16143.33,-1.26,EXPANSION
679,16742.57,0.00,EXPANSION
680,16587.50,-0.93,EXPANSION
681,16723.37,-0.11,EXPANSION
682,16650.55,-0.55,EXPANSION
683,16670.97,-0.43,EXPANSION
684,16496.05,-1.47,EXPANSION
685,16521.32,-1.32,EXPANSION
686,16591.50,-0.90,EXPANSION
687,16722.32,-0.12,EXPANSION
688,16646.88,-0.57,EXPANSION
689,16675.67,-0.40,EXPANSION
690,16767.24,0.00,EXPANSION
691,16664.49,-0.61,EXPANSION
692,16626.21,-0.84,EXPANSION
693,16482.86,-1.70,EXPANSION
694,16560.29,-1.23,EXPANSION
695,16851.96,0.00,EXPANSION
696,16823.12,-0.17,EXPANSION
697,16997.51,0.00,EXPANSION
698,17000.37,0.00,EXPANSION
699,16920.18,-0.47,EXPANSION
700,16670.18,-1.94,EXPANSION
701,16928.75,-0.42,EXPANSION
702,17083.82,0.00,EXPANSION
703,17202.28,0.00,EXPANSION
704,17461.94,0.00,EXPANSION
705,17347.68,-0.65,EXPANSION
706,17558.99,0.00,EXPANSION
707,17369.81,-1.08,EXPANSION
708,17297.68,-1.49,EXPANSION
709,17317.32,-1.38,EXPANSION
710,17254.77,-1.73,EXPANSION
711,17201.75,-2.03,EXPANSION
712,17349.80,-1.19,EXPANSION
713,17391.07,-0.96,EXPANSION
714,17513.99,-0.26,EXPANSION
715,17558.84,-0.00,EXPANSION
716,17547.82,-0.06,EXPANSION
717,17565.38,0.00,EXPANSION
718,17607.65,0.00,EXPANSION
719,17758.52,0.00,EXPANSION
720,17827.06,0.00,EXPANSION
721,18064.19,0.00,EXPANSION
722,18227.42,0.00,EXPANSION
723,18060.69,-0.91,EXPANSION
724,18063.05,-0.90,EXPANSION
725,17867.87,-1.97,EXPANSION
726,17836.18,-2.15,EXPANSION
727,18003.64,-1.23,EXPANSION
728,18093.25,-0.74,EXPANSION
729,17786.99,-2.42,EXPANSION
730,17785.37,-2.43,EXPANSION
731,17723.37,-2.77,EXPANSION
732,17856.13,-2.04,EXPANSION
733,17889.95,-1.85,EXPANSION
734,17716.89,-2.80,EXPANSION
735,17244.09,-5.39,EXPANSION
736,17684.90,-2.98,EXPANSION
737,17676.23,-3.02,EXPANSION
738,17646.86,-3.19,EXPANSION
