Día,Valor,Drawdown,Régimen
320,11573.95,-1.39,EXPANSION
321,11621.04,-0.99,EXPANSION
322,11583.51,-1.31,EXPANSION
323,11615.05,-1.04,EXPANSION
324,11610.75,-1.07,EXPANSION
325,11543.47,-1.65,EXPANSION
326,11494.43,-2.06,EXPANSION
327,11312.86,-3.61,EXPANSION
328,11383.51,-3.01,EXPANSION
329,11437.63,-2.55,EXPANSION
330,11467.23,-2.30,EXPANSION
331,11498.98,-2.03,EXPANSION
332,11510.99,-1.92,EXPANSION
333,11529.20,-1.77,EXPANSION
334,11542.65,-1.65,EXPANSION
335,11550.76,-1.58,EXPANSION
336,11624.64,-0.96,EXPANSION
337,11610.44,-1.08,EXPANSION
338,11605.57,-1.12,EXPANSION
339,11568.13,-1.44,EXPANSION
340,11599.43,-1.17,EXPANSION
341,11609.95,-1.08,EXPANSION
342,11584.10,-1.30,EXPANSION
343,11634.04,-0.87,EXPANSION
344,11606.30,-1.11,EXPANSION
345,11621.59,-0.98,EXPANSION
346,11620.62,-0.99,EXPANSION
347,11596.15,-1.20,EXPANSION
348,11598.76,-1.18,EXPANSION
349,11541.58,-1.66,EXPANSION
350,11528.71,-1.77,EXPANSION
351,11516.75,-1.87,EXPANSION
352,11492.64,-2.08,EXPANSION
353,11502.64,-1.99,EXPANSION
354,11536.22,-1.71,EXPANSION
355,11511.11,-1.92,EXPANSION
356,11461.26,-2.35,EXPANSION
357,11491.26,-2.09,EXPANSION
358,11566.39,-1.45,EXPANSION
359,11623.35,-0.97,EXPANSION
360,11648.67,-0.75,EXPANSION
361,11643.78,-0.79,EXPANSION
362,11729.73,-0.06,EXPANSION
363,11710.97,-0.22,EXPANSION
364,11700.31,-0.31,EXPANSION
365,11488.20,-2.12,EXPANSION
366,11489.69,-2.10,EXPANSION
367,11451.01,-2.43,EXPANSION
368,11541.84,-1.66,EXPANSION
369,11412.98,-2.76,EXPANSION
370,11440.08,-2.53,EXPANSION
371,11514.53,-1.89,EXPANSION
372,11481.25,-2.18,EXPANSION
373,11478.91,-2.20,EXPANSION
374,11488.12,-2.12,EXPANSION
375,11516.74,-1.87,EXPANSION
376,11524.46,-1.81,EXPANSION
377,11631.34,-0.90,EXPANSION
378,11527.11,-1.79,EXPANSION
379,11472.12,-2.25,EXPANSION
380,11471.61,-2.26,EXPANSION
381,11467.33,-2.30,EXPANSION
382,11402.98,-2.84,EXPANSION
383,11441.14,-2.52,EXPANSION
384,11452.53,-2.42,EXPANSION
385,11422.92,-2.67,EXPANSION
386,11484.54,-2.15,EXPANSION
387,11494.54,-2.06,EXPANSION
388,11487.31,-2.13,EXPANSION
389,11455.73,-2.39,EXPANSION
390,11345.89,-3.33,EXPANSION
391,11391.97,-2.94,EXPANSION
392,11375.22,-3.08,EXPANSION
393,11396.84,-2.90,EXPANSION
394,11401.43,-2.86,EXPANSION
395,11396.01,-2.90,EXPANSION
396,11433.21,-2.59,EXPANSION
397,11362.65,-3.19,EXPANSION
398,11353.27,-3.27,EXPANSION
399,11323.12,-3.52,EXPANSION
400,11337.75,-3.40,EXPANSION
401,11333.92,-3.43,EXPANSION
402,11340.54,-3.38,EXPANSION
403,11325.33,-3.51,EXPANSION
404,11387.80,-2.97,EXPANSION
405,11378.16,-3.06,EXPANSION
406,11364.33,-3.17,EXPANSION
407,11358.07,-3.23,EXPANSION
408,11412.96,-2.76,EXPANSION
409,11412.47,-2.76,EXPANSION
410,11430.54,-2.61,EXPANSION
411,11432.78,-2.59,EXPANSION
412,11450.49,-2.44,EXPANSION
413,11450.30,-2.44,EXPANSION
414,11432.65,-2.59,EXPANSION
415,11484.10,-2.15,EXPANSION
416,11458.75,-2.37,EXPANSION
417,11457.15,-2.38,EXPANSION
418,11441.98,-2.51,EXPANSION
419,11450.21,-2.44,EXPANSION
420,11309.59,-3.64,EXPANSION
421,11312.50,-3.61,EXPANSION
422,11312.87,-3.61,EXPANSION
423,11329.16,-3.47,EXPANSION
424,11444.19,-2.49,EXPANSION
425,11496.81,-2.04,EXPANSION
426,11479.96,-2.19,EXPANSION
427,11401.57,-2.86,EXPANSION
428,11380.55,-3.03,EXPANSION
429,11358.00,-3.23,EXPANSION
430,11351.92,-3.28,EXPANSION
431,11280.31,-3.89,EXPANSION
432,11421.74,-2.68,EXPANSION
433,11484.94,-2.15,EXPANSION
434,11522.97,-1.82,EXPANSION
435,11503.97,-1.98,EXPANSION
436,11504.03,-1.98,EXPANSION
437,11464.64,-2.32,EXPANSION
438,11543.01,-1.65,EXPANSION
439,11618.18,-1.01,EXPANSION
440,11534.50,-1.72,EXPANSION
441,11387.85,-2.97,EXPANSION
442,11402.75,-2.85,EXPANSION
443,11390.70,-2.95,EXPANSION
444,11384.22,-3.00,EXPANSION
445,11424.86,-2.66,EXPANSION
446,11415.25,-2.74,EXPANSION
447,11379.36,-3.04,EXPANSION
448,11288.53,-3.82,EXPANSION
449,11383.07,-3.01,EXPANSION
450,11370.66,-3.12,EXPANSION
451,11375.66,-3.08,EXPANSION
452,11388.02,-2.97,EXPANSION
453,11444.04,-2.49,EXPANSION
454,11587.21,-1.27,EXPANSION
455,11629.18,-0.92,EXPANSION
456,11678.11,-0.50,EXPANSION
457,11681.61,-0.47,EXPANSION
458,11672.34,-0.55,EXPANSION
459,11660.91,-0.65,EXPANSION
460,11747.99,0.00,EXPANSION
461,11622.29,-1.07,EXPANSION
462,11639.75,-0.92,EXPANSION
463,11659.29,-0.76,EXPANSION
464,11670.29,-0.66,EXPANSION
465,11669.74,-0.67,EXPANSION
466,11672.12,-0.65,EXPANSION
467,11704.57,-0.37,EXPANSION
468,11737.24,-0.09,EXPANSION
469,11764.55,0.00,EXPANSION
470,11875.84,0.00,EXPANSION
471,11838.54,-0.31,EXPANSION
472,11834.20,-0.35,EXPANSION
473,11853.06,-0.19,EXPANSION
474,11943.43,0.00,EXPANSION
475,11969.30,0.00,EXPANSION
476,12026.37,0.00,EXPANSION
477,11953.77,-0.60,EXPANSION
478,11957.66,-0.57,EXPANSION
479,12011.29,-0.13,EXPANSION
480,12046.52,0.00,EXPANSION
481,12182.65,0.00,EXPANSION
482,12431.30,0.00,EXPANSION
483,12333.69,-0.79,EXPANSION
484,12192.06,-1.92,EXPANSION
485,12202.85,-1.84,EXPANSION
486,12207.24,-1.80,EXPANSION
487,12223.76,-1.67,EXPANSION
488,12385.05,-0.37,EXPANSION
489,12260.82,-1.37,EXPANSION
490,12314.75,-0.94,EXPANSION
491,12431.02,-0.00,EXPANSION
492,12420.51,-0.09,EXPANSION
493,12426.94,-0.04,EXPANSION
494,12445.34,0.00,EXPANSION
495,12559.25,0.00,EXPANSION
496,12415.26,-1.15,EXPANSION
497,12468.25,-0.72,EXPANSION
498,12497.49,-0.49,EXPANSION
499,12544.21,-0.12,EXPANSION
500,12549.11,-0.08,EXPANSION
501,12637.87,0.00,EXPANSION
502,12758.07,0.00,EXPANSION
503,12802.69,0.00,EXPANSION
504,12620.07,-1.43,EXPANSION
505,12666.40,-1.06,EXPANSION
506,12669.57,-1.04,EXPANSION
507,12665.97,-1.07,EXPANSION
508,12597.70,-1.60,EXPANSION
509,12696.34,-0.83,EXPANSION
510,12676.54,-0.99,EXPANSION
511,12692.16,-0.86,EXPANSION
512,12773.01,-0.23,EXPANSION
513,12793.15,-0.07,EXPANSION
514,12769.29,-0.26,EXPANSION
515,12792.30,-0.08,EXPANSION
516,12878.00,0.00,EXPANSION
517,12951.27,0.00,EXPANSION
518,12855.60,-0.74,EXPANSION
519,12921.81,-0.23,EXPANSION
520,12947.58,-0.03,EXPANSION
521,12939.09,-0.09,EXPANSION
522,13030.25,0.00,EXPANSION
523,13102.91,0.00,EXPANSION
524,13102.62,-0.00,EXPANSION
525,13124.12,0.00,EXPANSION
526,13145.39,0.00,EXPANSION
527,13158.28,0.00,EXPANSION
528,13148.07,-0.08,EXPANSION
529,13198.43,0.00,EXPANSION
530,13267.64,0.00,EXPANSION
531,13230.92,-0.28,EXPANSION
532,13272.00,0.00,EXPANSION
533,13265.06,-0.05,EXPANSION
534,13222.91,-0.37,EXPANSION
535,13253.77,-0.14,EXPANSION
536,13297.12,0.00,EXPANSION
537,13231.36,-0.49,EXPANSION
538,13382.24,0.00,EXPANSION
539,13303.91,-0.59,EXPANSION
540,13312.18,-0.52,EXPANSION
541,13286.28,-0.72,EXPANSION
542,13302.12,-0.60,EXPANSION
543,13239.97,-1.06,EXPANSION
544,13208.36,-1.30,EXPANSION
545,13095.62,-2.14,EXPANSION
546,13090.07,-2.18,EXPANSION
547,13047.17,-2.50,EXPANSION
548,13133.50,-1.86,EXPANSION
549,13197.09,-1.38,EXPANSION
550,13253.02,-0.97,EXPANSION
551,13235.61,-1.10,EXPANSION
552,13409.18,0.00,EXPANSION
553,13374.03,-0.26,EXPANSION
554,13242.06,-1.25,EXPANSION
555,13051.87,-2.66,EXPANSION
556,13157.29,-1.88,EXPANSION
557,13198.16,-1.57,EXPANSION
558,13147.94,-1.95,EXPANSION
559,13053.51,-2.65,EXPANSION
560,13032.84,-2.81,EXPANSION
561,12886.61,-3.90,EXPANSION
562,12947.19,-3.45,EXPANSION
563,12937.12,-3.52,EXPANSION
564,13094.95,-2.34,EXPANSION
565,13141.03,-2.00,EXPANSION
566,13151.99,-1.92,EXPANSION
567,12956.09,-3.38,EXPANSION
568,12993.16,-3.10,EXPANSION
569,13006.36,-3.00,EXPANSION
570,13038.96,-2.76,EXPANSION
571,13078.60,-2.47,EXPANSION
572,13076.36,-2.48,EXPANSION
573,13011.40,-2.97,EXPANSION
574,13111.39,-2.22,EXPANSION
575,13120.30,-2.15,EXPANSION
576,13118.97,-2.16,EXPANSION
577,13135.60,-2.04,EXPANSION
578,13180.97,-1.70,EXPANSION
579,13235.74,-1.29,EXPANSION
580,13172.19,-1.77,EXPANSION
581,13071.57,-2.52,EXPANSION
582,13069.14,-2.54,EXPANSION
583,13076.11,-2.48,EXPANSION
584,13090.63,-2.38,EXPANSION
585,13163.92,-1.83,EXPANSION
586,13149.72,-1.93,EXPANSION
587,13081.34,-2.44,EXPANSION
588,13185.73,-1.67,EXPANSION
589,13156.53,-1.88,EXPANSION
590,13169.53,-1.79,EXPANSION
591,13136.79,-2.03,EXPANSION
592,13258.21,-1.13,EXPANSION
593,13321.72,-0.65,EXPANSION
594,13289.92,-0.89,EXPANSION
595,13302.47,-0.80,EXPANSION
596,13202.12,-1.54,EXPANSION
597,13208.78,-1.49,EXPANSION
598,13241.38,-1.25,EXPANSION
599,13360.25,-0.36,EXPANSION
600,13419.44,0.00,EXPANSION
601,13412.22,-0.05,EXPANSION
602,13359.56,-0.45,EXPANSION
603,13432.83,0.00,EXPANSION
604,13458.04,0.00,EXPANSION
605,13477.12,0.00,EXPANSION
606,13645.06,0.00,EXPANSION
607,13728.01,0.00,EXPANSION
