ticker,sector,action,entry_price,stop_loss,take_profit,rr_ratio,shares,size_eur,risk_eur,weight_pct,score,quintile,confidence,z_score,viable,remaining_cash_after,notes
NDAQ,,AVOID,86.6188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,1,MED,0.82,,,SHORT/SKIP | z=0.8
EW,,AVOID,85.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1,MED,0.81,,,SHORT/SKIP | z=0.8
WTW,,AVOID,261.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,1,MED,0.81,,,SHORT/SKIP | z=0.8
PCAR,,AVOID,118.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,1,MED,0.81,,,SHORT/SKIP | z=0.8
SNA,,AVOID,382.8875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,1,MED,0.8,,,SHORT/SKIP | z=0.8
MTB,,AVOID,224.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,1,MED,0.8,,,SHORT/SKIP | z=0.8
MRSH,,AVOID,163.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,1,MED,0.79,,,SHORT/SKIP | z=0.8
APD,,AVOID,280.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,1,MED,0.79,,,SHORT/SKIP | z=0.8
XLK,,AVOID,184.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,1,MED,0.79,,,SHORT/SKIP | z=0.8
HUBB,,AVOID,481.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1,MED,0.79,,,SHORT/SKIP | z=0.8
ERIE,,AVOID,228.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,1,MED,0.78,,,SHORT/SKIP | z=0.8
GRMN,,AVOID,238.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1,MED,0.78,,,SHORT/SKIP | z=0.8
BALL,,AVOID,52.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,1,MED,0.77,,,SHORT/SKIP | z=0.8
FOX,,AVOID,60.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,1,MED,0.76,,,SHORT/SKIP | z=0.8
ITW,,AVOID,253.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1,MED,0.75,,,SHORT/SKIP | z=0.8
