ticker,entry_date,exit_date,entry_price,exit_price,return_pct,pnl_eur,reason
MO,2025-04-01,2025-04-02,55.15,52.58,-4.81,-48.07,OB_Inv
MO,2025-06-30,2025-06-30,54.99,54.94,-0.24,-2.44,SL
MPC,2020-06-01,2020-06-02,29.76,31.62,6.08,60.84,TP
MPC,2020-11-03,2020-11-16,27.16,32.84,20.76,207.56,TP
MPC,2020-11-24,2021-02-16,37.17,45.01,20.94,209.40,TP
MPC,2021-03-11,2021-03-15,51.62,50.01,-3.27,-32.67,SL
MPC,2021-05-04,2021-05-04,49.27,49.07,-0.55,-5.51,SL
MPC,2021-05-05,2021-05-18,50.98,54.82,7.37,73.71,TP
MPC,2021-05-25,2021-06-03,53.91,56.35,4.37,43.73,TP
MPC,2021-09-01,2021-09-01,53.02,51.88,-2.28,-22.83,SL
MPC,2021-10-04,2021-10-06,57.34,55.22,-3.85,-38.52,SL
MPC,2021-10-07,2021-10-15,56.98,60.52,6.06,60.56,TP
MPC,2021-11-08,2021-11-18,59.60,56.74,-4.94,-49.44,OB_Inv
MPC,2022-01-12,2022-01-21,66.06,63.51,-4.02,-40.18,SL
MPC,2022-04-28,2022-05-04,80.09,87.38,8.96,89.56,TP
MPC,2022-11-08,2022-12-05,110.21,104.41,-5.40,-54.05,OB_Inv
MPC,2023-03-02,2023-03-13,120.21,114.89,-4.58,-45.78,SL
MPC,2023-03-15,2023-03-15,115.24,114.78,-0.55,-5.48,SL
MPC,2023-07-10,2023-07-24,110.57,119.35,7.80,77.97,TP
MPC,2024-01-31,2024-03-14,161.55,181.53,12.22,122.20,TP
MPC,2024-03-18,2024-04-02,185.99,198.34,6.49,64.90,TP
MPC,2025-02-05,2025-03-04,151.09,139.09,-8.09,-80.89,OB_Inv
MPC,2025-05-14,2025-05-21,157.37,153.69,-2.49,-24.88,OB_Inv
MPC,2025-06-23,2025-06-23,167.31,163.58,-2.37,-23.75,SL
MPWR,2020-01-24,2020-01-27,175.59,168.00,-4.47,-44.71,OB_Inv
MPWR,2020-02-11,2020-02-21,176.55,168.25,-4.85,-48.50,SL
MPWR,2020-03-27,2020-04-01,160.42,148.94,-7.31,-73.07,SL
MPWR,2020-07-30,2020-09-04,250.77,246.77,-1.75,-17.48,SL
MPWR,2020-10-06,2020-10-06,270.64,275.82,1.76,17.64,TP
