ticker,sector,action,entry_price,stop_loss,take_profit,rr_ratio,shares,size_eur,risk_eur,weight_pct,score,quintile,confidence,z_score,viable,remaining_cash_after,notes
J,,AVOID,121.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,1,LOW,0.6,,,SHORT/SKIP | z=0.6
EL,,AVOID,87.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,1,LOW,0.57,,,SHORT/SKIP | z=0.6
ALB,,AVOID,152.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,1,LOW,0.57,,,SHORT/SKIP | z=0.6
TAP,,AVOID,40.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,1,LOW,0.56,,,SHORT/SKIP | z=0.6
BLDR,,AVOID,77.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,1,LOW,0.56,,,SHORT/SKIP | z=0.6
AOS,,AVOID,58.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1,LOW,0.56,,,SHORT/SKIP | z=0.6
IRM,,AVOID,124.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,1,LOW,0.54,,,SHORT/SKIP | z=0.5
CPT,,AVOID,115.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,1,LOW,0.54,,,SHORT/SKIP | z=0.5
TDG,,AVOID,1235.2899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,1,LOW,0.53,,,SHORT/SKIP | z=0.5
ETN,,AVOID,401.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,1,LOW,0.53,,,SHORT/SKIP | z=0.5
COST,,AVOID,972.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1,LOW,0.52,,,SHORT/SKIP | z=0.5
TTD,,AVOID,19.835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,1,LOW,0.52,,,SHORT/SKIP | z=0.5
